REGEOGR;VB01001_SEXO;VB01002_COR_RACA;VB01003_IDADE;VB01010A-PESSOAS;VB01021-SERIE;VB01022-TURNO;VB01026-PRETENSAO;VB02024-ALIMENTACAO;TEMPOEDFIS;VB07010-BULLYING;VB09010-AGRESSÃO;VB09016-ABUSO;VB06001
1;1;1;16;6;4;3;3;2;130;1;1;2;1
1;2;4;15;6;4;3;3;3;5;2;4;2;2
1;2;2;16;4;4;3;3;3;0;2;1;2;2
1;2;4;16;5;4;3;3;4;10;1;1;2;2
1;1;4;15;2;4;3;5;1;130;1;1;2;2
1;2;1;15;4;4;3;4;1;70;2;1;2;2
1;1;4;15;4;4;3;3;1;70;2;1;1;2
1;1;1;17;5;4;3;4;1;130;2;1;2;2
1;1;2;15;4;4;3;1;3;130;2;3;2;2
1;1;1;15;3;4;3;3;1;130;2;1;2;2
1;2;1;14;5;4;3;5;2;10;1;1;2;2
1;1;3;13;6;4;3;1;1;130;1;1;2;2
1;1;2;16;6;4;3;3;1;130;2;2;2;1
1;1;1;15;3;4;3;3;1;50;2;1;2;2
1;1;4;15;4;4;3;2;1;50;1;6;2;2
1;1;2;15;4;4;3;3;1;130;1;1;2;2
1;1;1;15;4;4;3;1;1;0;1;1;2;2
1;2;4;14;5;4;3;1;1;0;1;1;2;2
1;1;2;14;7;4;3;1;1;130;1;1;2;2
1;1;4;13;6;4;3;3;2;130;1;2;2;2
1;2;4;14;3;4;3;3;1;30;1;2;2;1
1;2;3;15;5;4;3;4;1;10;2;2;2;2
1;1;4;13;4;4;3;1;1;130;1;5;2;2
1;2;1;14;3;4;1;3;1;0;2;1;2;2
1;1;4;14;4;4;1;3;1;0;2;1;2;2
1;1;5;15;4;4;1;5;1;0;2;1;2;2
1;2;4;13;4;4;1;3;1;0;2;1;2;2
1;1;1;14;6;4;1;3;1;0;1;1;2;2
1;1;2;14;6;4;1;5;1;0;1;1;2;2
1;1;4;14;2;4;1;3;3;0;1;1;2;2
1;2;4;16;6;4;1;3;4;0;2;1;2;2
1;1;4;14;4;4;1;3;1;0;1;1;2;2
1;2;4;15;4;4;1;3;3;0;1;2;2;2
1;1;4;14;4;4;1;3;2;0;1;1;2;2
1;2;1;13;4;4;1;3;1;0;2;1;2;2
1;2;1;15;5;4;1;2;1;0;2;1;2;2
1;1;4;15;8;4;1;3;2;0;1;1;2;2
1;1;1;14;5;4;1;2;1;0;2;2;2;2
1;1;1;14;4;4;1;3;2;0;1;6;2;2
1;2;4;14;3;4;1;3;1;0;2;1;2;2
1;2;1;13;5;4;1;1;1;0;2;1;2;2
1;2;1;15;4;4;1;3;1;0;1;1;2;2
1;2;4;14;3;4;1;1;1;0;1;2;2;2
1;2;1;15;4;4;1;3;1;0;2;1;2;2
1;1;4;16;4;4;1;1;1;0;1;1;2;2
1;2;1;15;5;4;1;3;1;0;2;1;2;2
1;2;4;17;5;4;1;3;1;0;1;1;2;2
1;2;4;16;3;4;1;1;1;0;1;1;2;2
1;2;4;15;3;4;1;3;3;0;2;1;2;2
1;2;4;14;3;4;1;3;1;0;2;1;2;2
1;2;4;14;4;4;1;3;1;0;2;1;2;2
1;2;4;17;3;4;1;1;1;0;2;1;2;2
